Id,Sample #,Time,parent,voltage [V],temp,light,adc2 [V],adc3 [V],adc4 [V],adc5 [V],adc6 [V]
10,,9/24/2015 8:06:04 AM,0,2.8398,29.566,402,0.73285,0.56352,0.45803,0.508,0.54686
13,,9/24/2015 8:06:05 AM,0,3.0397,25.602,831,1.3252,0.68341,0.50513,0.49622,0.51701
11,,9/24/2015 8:06:05 AM,0,3.0323,27.105,704,1.405,0.73807,0.53355,0.55133,0.57505
24,,9/24/2015 8:06:08 AM,10,2.9398,29.308,206,0.45404,0.4368,0.45404,0.47703,0.51439
53,,9/24/2015 8:06:12 AM,24,2.8593,24.691,11,0.41645,0.43322,0.45837,0.52266,0.69874
40,,9/24/2015 8:06:17 AM,20,2.7707,31.915,227,0.65543,0.5498,0.5796,0.66627,0.74481
3,,9/24/2015 8:06:22 AM,0,2.9889,29.652,453,1.2359,1.1774,1.157,0.70121,0.56973
20,,9/24/2015 8:06:27 AM,0,2.9261,29.308,113,0.46908,0.56347,0.58922,1.0068,1.1012
54,,9/24/2015 8:06:39 AM,0,2.3946,-273.15,448,0.64136,0.84734,0.7935,0.8333,0.87543
255,,9/24/2015 8:06:43 AM,0,2.9261,29.738,590,1.3157,1.3243,1.1555,0.93817,0.77227
10,,9/24/2015 8:07:02 AM,0,2.8398,29.566,402,0.73285,0.56352,0.45803,0.51078,0.54686
11,,9/24/2015 8:07:04 AM,0,3.0323,27.105,708,1.402,0.744,0.53651,0.5454,0.57505
13,,9/24/2015 8:07:04 AM,0,3.0397,25.602,836,1.3341,0.68638,0.50513,0.49622,0.51404
24,,9/24/2015 8:07:07 AM,10,2.9398,29.308,203,0.45404,0.43968,0.45404,0.47703,0.51439
53,,9/24/2015 8:07:11 AM,24,2.8593,23.703,12,0.43042,0.43042,0.46396,0.51986,0.70713
40,,9/24/2015 8:07:16 AM,20,2.7646,31.827,227,0.64588,0.53508,0.56751,0.65399,0.73776
3,,9/24/2015 8:07:21 AM,0,2.9889,29.652,448,1.2242,1.1716,1.1482,0.69537,0.56681
20,,9/24/2015 8:07:25 AM,0,2.9261,29.308,110,0.46622,0.56061,0.58922,1.004,1.1098
54,,9/24/2015 8:07:37 AM,0,2.3946,-273.15,446,0.63668,0.845,0.7935,0.83095,0.87309
255,,9/24/2015 8:07:42 AM,0,2.9261,29.824,590,1.3157,1.3272,1.1555,0.93531,0.76941
10,,9/24/2015 8:08:01 AM,0,2.8398,29.566,402,0.73285,0.56352,0.45803,0.508,0.54686
13,,9/24/2015 8:08:02 AM,0,3.0397,25.602,818,1.3044,0.67747,0.50513,0.49622,0.51701
11,,9/24/2015 8:08:03 AM,0,3.0323,27.105,710,1.402,0.74104,0.53651,0.54244,0.57801
24,,9/24/2015 8:08:05 AM,10,2.9398,29.308,201,0.45117,0.4368,0.45117,0.47416,0.51152
53,,9/24/2015 8:08:09 AM,24,2.8593,23.456,12,0.43042,0.42204,0.46117,0.51707,0.71272
40,,9/24/2015 8:08:15 AM,20,2.7707,31.827,228,0.61751,0.53085,0.56064,0.66627,0.74481
3,,9/24/2015 8:08:20 AM,0,2.9889,29.652,442,1.2067,1.1599,1.1336,0.68952,0.56681
