Id,Sample #,Time,parent,voltage [V],temp [C],light,adc2 [V],adc3 [V],adc4 [V],adc5 [V],adc6 [V]
10,,9/24/2015 12:15:26 AM,0,2.8593,15.436,687,1.4674,1.0425,0.81613,0.85526,0.89439
13,,9/24/2015 12:15:27 AM,0,3.0471,28.881,354,0.63444,0.49742,0.48253,0.49444,0.51529
11,,9/24/2015 12:15:28 AM,0,3.0471,29.652,285,1.7425,0.86677,0.5838,0.59274,0.61954
24,,9/24/2015 12:15:30 AM,0,2.9606,28.286,433,0.66274,0.46884,0.46595,0.48042,0.52093
24,,9/24/2015 12:15:31 AM,0,2.9606,28.286,433,0.66274,0.46884,0.46595,0.48042,0.52093
54,,9/24/2015 12:15:32 AM,0,2.4037,0.8036,309,0.3971,0.34776,0.35481,0.35715,0.383
255,,9/24/2015 12:15:37 AM,0,2.9057,-273.15,799,1.4883,1.2696,0.92028,1.2469,1.3861
3,,9/24/2015 12:15:45 AM,0,3.0105,27.609,809,1.3772,0.84163,0.60327,0.51204,0.51793
20,,9/24/2015 12:15:50 AM,0,2.9261,28.456,474,0.74939,0.57491,0.4748,0.55203,0.73223
10,,9/24/2015 12:16:24 AM,0,2.8527,15.106,689,1.4807,1.0513,0.82543,0.85052,0.8812
11,,9/24/2015 12:16:25 AM,0,3.0471,29.652,274,1.7395,0.86677,0.5838,0.58976,0.6255
13,,9/24/2015 12:16:25 AM,0,3.025,28.881,379,0.65645,0.49677,0.47903,0.49086,0.51452
24,,9/24/2015 12:16:30 AM,20,2.9606,28.371,381,0.57882,0.45726,0.46305,0.48042,0.52672
54,,9/24/2015 12:16:31 AM,0,2.4037,0.8036,309,0.3971,0.35011,0.35481,0.35715,0.38535
255,,9/24/2015 12:16:33 AM,0,2.9057,-273.15,801,1.4912,1.2668,0.9146,1.2441,1.3861
3,,9/24/2015 12:16:43 AM,0,2.9818,27.609,809,1.367,0.83653,0.60044,0.52174,0.52757
20,,9/24/2015 12:16:48 AM,0,2.9261,28.54,462,0.73509,0.57491,0.4748,0.56633,0.74081
10,,9/24/2015 12:17:23 AM,0,2.8527,15.354,685,1.5393,1.0792,0.86168,0.87004,0.88956
13,,9/24/2015 12:17:24 AM,0,3.0471,28.626,396,0.69103,0.50934,0.48551,0.49742,0.51529
11,,9/24/2015 12:17:25 AM,0,3.0471,29.652,287,1.7037,0.85783,0.58082,0.58976,0.62848
24,,9/24/2015 12:17:26 AM,20,2.9606,28.456,410,0.61933,0.46016,0.46305,0.48042,0.5383
54,,9/24/2015 12:17:29 AM,0,2.4037,0.90589,310,0.3971,0.35011,0.35481,0.3595,0.38535
255,,9/24/2015 12:17:31 AM,0,2.899,-273.15,798,1.4849,1.2554,0.89831,1.2384,1.3772
53,,9/24/2015 12:17:33 AM,11,2.9124,22.227,729,1.153,0.6064,0.48683,0.50961,0.74306
3,,9/24/2015 12:17:42 AM,0,3.0105,27.609,805,1.3743,0.83869,0.60033,0.51499,0.5297
20,,9/24/2015 12:17:46 AM,0,2.9261,28.626,468,0.73795,0.57205,0.4748,0.58063,0.75225
20,,9/24/2015 12:17:47 AM,0,2.9261,28.626,468,0.73795,0.57205,0.4748,0.58063,0.75225
20,,9/24/2015 12:17:47 AM,0,2.9261,28.626,468,0.73795,0.57205,0.4748,0.58063,0.75225
20,,9/24/2015 12:17:48 AM,0,2.9261,28.626,468,0.73795,0.57205,0.4748,0.58063,0.75225
11,,9/24/2015 12:18:22 AM,0,3.0471,29.566,282,1.6948,0.85187,0.57784,0.58976,0.6255
10,,9/24/2015 12:18:23 AM,0,2.8527,21.41,671,1.4278,1.1461,0.9537,0.98438,0.99553
13,,9/24/2015 12:18:23 AM,0,3.0471,28.456,380,0.67316,0.50636,0.48253,0.49742,0.51529
24,,9/24/2015 12:18:26 AM,20,2.9606,28.54,481,0.72641,0.48042,0.46595,0.48042,0.54988
24,,9/24/2015 12:18:26 AM,20,2.9606,28.54,481,0.72641,0.48042,0.46595,0.48042,0.54988
24,,9/24/2015 12:18:27 AM,20,2.9606,28.54,481,0.72641,0.48042,0.46595,0.48042,0.54988
54,,9/24/2015 12:18:28 AM,0,2.4037,0.8036,309,0.3971,0.34776,0.35481,0.35715,0.383
255,,9/24/2015 12:18:30 AM,0,2.7954,-79.281,794,1.4291,1.2242,0.90448,1.2051,1.3362
53,,9/24/2015 12:18:31 AM,24,2.9124,21.9,731,1.1616,0.61494,0.50391,0.50676,0.74875
53,,9/24/2015 12:18:31 AM,24,2.9124,21.9,731,1.1616,0.61494,0.50391,0.50676,0.74875
53,,9/24/2015 12:18:32 AM,24,2.9124,21.9,731,1.1616,0.61494,0.50391,0.50676,0.74875
53,,9/24/2015 12:18:33 AM,24,2.9124,21.9,731,1.1616,0.61494,0.50391,0.50676,0.74875
3,,9/24/2015 12:18:41 AM,0,3.0105,27.863,804,1.3949,0.86518,0.62387,0.52087,0.5297
20,,9/24/2015 12:18:44 AM,0,2.9261,28.626,469,0.74653,0.57777,0.47767,0.59494,0.76941
10,,9/24/2015 12:19:20 AM,0,2.8527,22.882,670,1.4752,1.1963,0.9788,0.98716,0.98716
11,,9/24/2015 12:19:21 AM,0,3.0471,29.48,258,1.7246,0.86081,0.58082,0.58976,0.6255
13,,9/24/2015 12:19:22 AM,0,3.0471,28.371,353,0.63742,0.5004,0.48253,0.49742,0.51529
24,,9/24/2015 12:19:24 AM,20,2.9537,28.54,436,0.66407,0.47062,0.46774,0.48217,0.55724
24,,9/24/2015 12:19:26 AM,20,2.9537,28.54,436,0.66407,0.47062,0.46774,0.48217,0.55724
54,,9/24/2015 12:19:27 AM,0,2.4037,1.0079,310,0.39945,0.35011,0.35481,0.3595,0.38535
53,,9/24/2015 12:19:28 AM,24,2.9124,21.9,736,1.173,0.62064,0.49537,0.5153,0.7516
255,,9/24/2015 12:19:29 AM,0,2.9192,-273.15,798,1.4924,1.2927,1.013,1.2727,1.404
3,,9/24/2015 12:19:39 AM,0,3.0105,28.201,807,1.4684,0.93286,0.67095,0.53264,0.53559
20,,9/24/2015 12:19:45 AM,0,2.9261,28.711,468,0.74367,0.57491,0.47767,0.58636,0.76083
20,,9/24/2015 12:19:46 AM,0,2.9261,28.711,468,0.74367,0.57491,0.47767,0.58636,0.76083
10,,9/24/2015 12:20:18 AM,0,2.8398,23.21,671,1.4935,1.1409,0.9577,0.96603,0.97991
11,,9/24/2015 12:20:20 AM,0,3.0471,29.48,259,1.7335,0.86379,0.57784,0.5838,0.61359
13,,9/24/2015 12:20:20 AM,0,3.0471,28.286,378,0.67316,0.50934,0.48253,0.49444,0.51529
24,,9/24/2015 12:20:23 AM,20,2.9537,28.626,415,0.62653,0.45907,0.45907,0.47928,0.5428
54,,9/24/2015 12:20:26 AM,0,2.4037,1.0079,310,0.39945,0.35246,0.35481,0.3595,0.38535
53,,9/24/2015 12:20:27 AM,24,2.9192,21.736,724,1.1443,0.60782,0.49082,0.51365,0.7562
255,,9/24/2015 12:20:27 AM,0,2.9192,-273.15,801,1.4924,1.3012,1.0587,1.2898,1.4097
